Sorkérdés;A;B;C;D;Válasz;Kategória
Tegye az alábbi növényeket virágzási idejük kezdete szerint időrendbe!;ibolya;rózsa;orgona;őszi rózsa;ACBD;BIOLÓGIA
Állítsa növekvő sorrendbe az alábbi mesefigurákhoz tartozó számokat!;Hófehérke;Kismalac;a brémai muzsikusok;Ali baba;BCAD;FILM
Állítsa keletkezési sorrendbe a következő regényeket! Kezdje a legrégebbivel!;Robinson Crusoe;A fekete gyémántok;Az öreg halász és a tenger;Svejk;ABDC;IRODALOM
Tegye születésük időrendjébe az alábbi magyar írókat!;Mikszáth Kálmán;Németh László;Jókai Mór;Móricz Zsigmond;CADB;IRODALOM
Állítsa sorba a rovarok kifejlődésének szakaszait! Kezdje a legkorábbi állapottal!;báb;pete;lárva;imágó;BCAD;BIOLÓGIA
Tegye az építészeti korszakokat időrendi sorrendbe!;gótika;klasszicizmus;román;barokk;CADB;ÉPÍTÉSZET
Állítsa sorrendbe területük alapján az alábbi európai országokat! Kezdje a legnagyobbal!;Lengyelország;Luxemburg;Vatikán;Franciaország;DABC;FÖLDRAJZ
A legtöbb aranyérmet nyerttel kezdve állítsa sorrendbe az alábbi magyar olimpiai bajnokokat!;Egerszegi Krisztina;Kárpáti Rudolf;Darnyi Tamás;Gerevich Aladár;DBAC;SPORT
Állítsa sorba az alábbi nyelveket elterjedtségük mértéke szerint! Kezdje a legtöbbek által beszélt nyelvvel!;kínai;perzsa;török;arab;ADCB;NYELV
Állítsa nagyság szerinti sorrendbe a fővárosokat a lakosság száma alapján! Kezdje a legnagyobbal!;Moszkva;Tokió;Mexikóváros;Athén;CBAD;ORSZÁGOK
Állítsa sorrendbe az emberi fogazat tagjait! Kezdje középről!;zápfog;metszőfog;bölcsességfog;szemfog;BDAC;BIOLÓGIA
Állítsa időrendi sorrendbe a következő zeneszerzőket! Kezdje a legrégebbivel!;Berlioz;Mozart;Purcell;Prokofjev;CBAD;OPERA
Tegye az alábbi növényeket virágzási idejük kezdete szerint időrendi sorrendbe!;csokros tulipán;kecses liliom;tarka kikerics;pompás hóvirág;DABC;BIOLÓGIA
Tegyék a zenés filmeket forgatásuk időpontja szerinti sorrendbe! Kezdjék a legkorábbival!;West Side Story;Kabaré;Ének az esőben;Hair;CABD;FILM
Állítsa sorrendbe az alábbi állatokat fejlettségük szerint! Kezdje a legfejlettlenebbel!;béka;krokodil;ponty;veréb;CABD;BIOLÓGIA
Állítsa időrendi sorrendbe az alábbi régi magyar hónapneveket! Kezdje a legkorábbival!;Szent Iván hava;Mindszent hava;Pünkösd hava;Szent György hava;DCAB;ÁLTALÁNOS
Állítsa nagyság szerinti sorrendbe az alábbi vonós hangszereket! Kezdje a legnagyobbal!;brácsa;nagybőgő;hegedű;gordonka;BDAC;OPERA
Tegye az alábbi színműveket születésük sorrendjébe! Kezdje a legrégebbivel!;Az ügynök halála;Tartuffe;Macbeth;Antigone;DCBA;IRODALOM
Állítsa sorrendbe az alábbi növényeket fejlettségük szerint! Kezdje a legfejlettlenebbel!;nyitvatermők;harasztok;gombák;moszatok;DCBA;BIOLÓGIA
Állítsa sorrendbe az alábbi hangszereket húrjaik száma alapján! Kezdje a legnagyobb húrúval!;klasszikus gitár;citera;hárfa;brácsa;CBAD;OPERA
Állítsa sorrendbe az alábbi fővárosokat Budapesttől mért távolságuk alapján! Kezdje a legközelebbivel!;Prága;Tokió;London;Róma;ADCB;FÖLDRAJZ
Állítsa időrendi sorrendbe az alábbi hadvezéreket! Kezdje a legkorábbival!;Kutuzov;Montgomery;Nagy Sándor;Wallenstein;CDAB;TÖRTÉNELEM
Állítsa sorba Nagy-Britannia miniszterelnökeit beiktatásuk időrendje szerint!;John Major;Winston Churchill;Tony Blair;Margaret Thatcher;BDAC;TÖRTÉNELEM
Állítsa időrendi sorrendbe a következő olimpiai bajnok magyar úszókat! Kezdje a legkorábbival!;Hajós Alfréd;Darnyi Tamás;Csík Ferenc;Halmay Zoltán;ADCB;SPORT
