Nehézség;Kérdés;A;B;C;D;Válasz;Kategória
1;Hol található a csarnokvíz?;a pályaudvaron;a szemben;a tejcsarnokban;barlangfürdőben;B;BIOLÓGIA
2;Mi indul Rideg Sándor regényének címében?;a banzáj;a bakterház;a mandula;a verseny;B;FILM
3;Melyik madarat nevezi a néphit vészmadárnak?;a seregélyt;a verebet;a kuvikot;a feketerigót;C;NYELV
4;Melyik Európa legmagasabb működő vulkánja?;Stromboli;Hekla;Szantorini;Etna;D;FÖLDRAJZ
5;Melyik volt Koncz Zsuzsa első önálló nagy slágere?;Szőke Anni balladája;Rohan az idő;Színes ceruzák;Kis virág;A;ZENE
6;Kik hordták eredetileg az anorákot?;a serpák;az eszkimók;a lappok;a nyenyecek;B;TÖRTÉNELEM
1;Melyik járműről elnevezett együttes tagja volt Zorán a 60-as években?;Villamos;HÉV;Autóbusz;Metró;D;ZENE
2;Hogyan vágtatott a Tisza Petőfi verse szerint?;mint a megvadult bika;mint a forgószél;mint az őrült, ki letépte láncát;mint a menekülő, kit kerget a tatár;C;IRODALOM
3;Mivel foglalkozik az, akinek az ikebana a hobbija?;keleti küzdősporttal;virágokkal;papírhajtogatással;japán kakasokkal;B;ÁLTALÁNOS
4;Hány játékos van egyszerre a pályán egy kosárlabda-csapatból?;négy;hét;hat;öt;D;SPORT
5;Kiknek az érdekeit képviseli az UNICEF?;szakszervezetek;gyerekek;állatvédők;dolgozók;B;ÁLTALÁNOS
6;Hogyan nevezték kedveskedve a homlokba hulló kis fodor női hajfürtöt?;huncutka;mucika;pöndörke;tekercske;A;ÁLTALÁNOS
7;Milyen egységben mérik a hang rezgésszámát?;tonban;decibelben;hertzben;luxban;C;TUDOMÁNY
8;Milyen nőt ábrázol Munkácsy ismert, 1873-as képe?;korsóvívő;bordóruhás;rőzsehordó;gyermekét tartó;C;KÉPZŐMŰVÉSZET
9;Mi volt a neve George Stephenson első mozdonyának?;George;Mylord;Rocket;Locomotive;B;TECHNIKA
10;Ki volt a gyermekorvostan első tanára hazánkban?;id. Bókay János;Heim Pál;Schöpf-Mérei Ágoston;Korányi Sándor;A;BIOLÓGIA
1;Hogy nevezzük másképpen a kárókatonát?;obsitos;treff bubi;bölönbika;kormorán;D;BIOLÓGIA
2;Melyik futballistát nevezik "Fekete gyöngyszem"-nek?;Thuramot;Pelét;Eusebiót;Andy Cole-t;B;SPORT
3;La Fontaine, Aiszóposz, Fáy András, Heltai Gáspár. Mi köti össze ezt a négy szerzőt?;a születési helyük;a vallásuk;a szerelmük;az állatmesék;D;ÁLTALÁNOS
4;Melyik magyar várost nevezik a "vizek városának"?;Siófok;Tata;Szeged;Debrecen;B;MAGYARORSZÁG
5;Mi volt a neve Paulina szerelmének, Carlitos édesapjának a Paula és Paulina című sorozatban?;Paulinho;Carlos Daniel;Rodrigo;Zorro;B;ÁLTALÁNOS
6;Milyen része egy ruhának a zsabó?;hímzett zseb;csipkés mellfodor;keményített ingujj;csipkés gallér;B;ÁLTALÁNOS
7;Apostol szavunk a görög "aposztolosz" szóból származik. Mi a szó eredeti jelentése?;tanítvány;küldött;pásztor;kőszikla;B;NYELV
1;Hol sütik már a rántott békát?;Kovácséknál;Vargáéknál;Virágéknál;Gólyáéknál;C;IRODALOM
2;Az alábbi szavak közül melyiket írtuk helytelenül?;sóhaj;talaj;fogoj;zsivaj;C;NYELV
3;Az alábbi ételek közül melyikbe nem kell burgonya?;sztrapacska;szilvás gombóc;túrógombóc;gránátos kocka;C;KONYHA
4;Milyen állat a Fekete István történetéből ismert Lutra?;hód;vidra;cickány;tengerimalac;B;IRODALOM
5;Melyik híres popsztár slágerei voltak a "Bad" illetve a "Black Or White"?;Michael Jackson;Rod Stewart;George Michael;Elton John;A;ZENE
6;Hol mossa a lepedőjét Ágnes asszony Arany János balladájában?;a patakban;a kútnál;a Tiszában;a teknőben;A;IRODALOM
7;Hol használták régen az édesvízi piócák egyes fajait?;a növénynemesítéseknél;a harcászatban;a gyógyászatban;a szakácsművészetben;C;BIOLÓGIA
8;Hogyan jutok hozzá valamihez, ha egy barter során szerzem meg?;pályázaton;sokoldalú alku után;rövid lejáratú kölcsönnel;cserével;D;ÁLTALÁNOS
9;Kinek a nevéhez fűződik a Züzü-sorozat?;Csók István;Paál László;Pór Bertalan;Szőnyi István;A;KÉPZŐMŰVÉSZET
10;Ki minden idők legfiatalabb wimbledoni férfi teniszbajnoka?;Pete Sampras;Björn Borg;Stefan Edberg;Boris Becker;D;SPORT
11;Az alábbi ismert énekesek közül ki játszotta saját magát Sándor Pál Ripacsok című filmjében?;Szörényi Levente;Somló Tamás;Zorán;Vikidál Gyula;C;FILM
1;Hogyan győzte le Dávid Góliátot?;Szkanderben lenyomta;Dárdájával eltalálta;Elgáncsolta;Parittyával leterítette;D;VALLÁS
2;Mi a neve a hím szamárnak?;kan;mén;ünő;csődör;D;BIOLÓGIA
3;Mi történik a mimóza levelével, ha megérintjük?;elporlad;szétnyílik;összecsukódik;festékanyagot spriccel;C;BIOLÓGIA
4;Az alábbiak közül ki a Fehérlófia című népmese szereplője?;Bokorugró;Fanyűvő;Fűvágó;Fenyődöntő;B;IRODALOM
5;Ki az a híres amerikai kosárlabda-játékos, aki az RTL Klub Zsoldosok című sorozatában szerepel?;Jordan;Barkley;Rodman;Pippen;C;SPORT
6;Mivel foglalkozott idősebb Rubik Ernő?;űrkutatással;repülőgép-építéssel;játékgyártással;gépkocsigyártással;B;TECHNIKA
7;Milyen színű lesz a lakmuszpapír sav hatására?;sárga;zöld;vörös;kék;C;TUDOMÁNY
1;Mit csinál a mondás szerint, aki "igába hajtja a fejét"?;elválik;tehenet fej;megnősül;ekét tesztel;C;NYELV
2;Az alábbiak közül melyik nem marhahús?;bélszín;dagadó;rostélyos;felsál;B;KONYHA
3;Miket láthatunk egy skanzenben?;éremgyűjteményeket;tömegközlekedési eszközöket;falusi epületeket;operaelőadásokat;C;ÁLTALÁNOS
4;Mivel játsszák a marokkó nevű játékot?;kockákkal;kártyával;pálcikákkal;dominóval;C;JÁTÉK
5;Ki komponálta a West Side Story című musical zenéjét?;George Gershwin;Leonard Bernstein;Maurice Ravel;Nino Rota;B;ZENE
6;Hol építettek hidat az angol hadifoglyok David Lean filmjében?;túl messze;a Zambézin;a Kwai folyón;a Szakvenen;C;FILM
7;Hogyan nevezték a kozák katonai parancsnokot?;kelevéz;atamán;atanáz;ottomán;B;TÖRTÉNELEM
